id,stremio_id,slug,name,description,version,canonical_url,manifest_url,types,categories,languages,status,rating,rating_count,total_stars,installs,source_published_at,source_updated_at,updated_at
"34ff3484-621f-4266-95d3-795585852947","com.magyar.tv.live","magyar-tv","Magyar TV","Magyar élő televíziós csatornák Stremióban.","0.1.1","https://addons-stremio.com/addon/magyar-tv","https://stremiptv.com/magyar/manifest.json","tv","documentaries|asian-drama|anime|tv-shows|movies|bollywood|sports|kids|live-tv|subtitles|metadata|radio","multi","online","0","0","1","0","2026-08-03T18:17:05.164Z","","2026-08-11T09:00:15.208Z"
"7300d704-19ec-4e36-a50c-e9ac698a179c","com.stremio.ricos","canal-ricos-addon","Canal Ricos Addon","Canal Ricos (Brazil) - Perus, São Paulo, Whatsapp: (11) 99105-1755","1.0.0","https://addons-stremio.com/addon/canal-ricos-addon","https://zoreu.github.io/ricosstremio/manifest.json","tv","live-tv|metadata","multi","online","0","0","7","0","2026-07-30T18:42:10.789Z","2026-07-07T19:26:05.570Z","2026-08-10T21:11:21.910Z"
"81a3768d-e65f-48cf-a9a2-f0ceb7c98512","me.stremio.ktuvit","ktuvit-me-subtitles","Ktuvit.me Subtitles","An unofficial Stremio addon for Hebrew subtitles from Ktuvit.me. Developed by Maor Development","0.1.2","https://addons-stremio.com/addon/ktuvit-me-subtitles","https://4b139a4b7f94-ktuvit-stremio.baby-beamup.club/manifest.json","movie|series","movies|tv-shows|subtitles","multi","online","0","0","3","0","2026-07-30T18:40:57.314Z","2026-07-07T19:10:55.117Z","2026-08-11T09:00:03.369Z"
"8afc8573-371c-4feb-a5ed-c2672267f451","com.linvo.cinemeta","cinemeta","Cinemeta","The official addon for movie and series catalogs","3.0.14","https://addons-stremio.com/addon/cinemeta","https://v3-cinemeta.strem.io/manifest.json","movie|series","movies|tv-shows|documentaries|sports|metadata","multi","online","0","0","0","4","2026-07-30T17:20:42.186Z","","2026-08-10T21:11:51.312Z"
"f43a98bb-3bad-4312-a949-a368ce7b27e2","com.streamio.subtranslator","subtitle-translator-by-okuru-id","Subtitle Translator","Translates English subtitles to your language via an OpenAI-compatible LLM.","0.3.0","https://addons-stremio.com/addon/subtitle-translator-by-okuru-id","https://streamio-srt.rnd.my.id/manifest.json","movie|series","movies|tv-shows|subtitles","en","online","0","0","3","1","2026-07-29T17:39:14.966Z","2026-07-30T15:10:52.690Z","2026-08-10T21:00:32.562Z"
"2169330f-8466-452f-abe4-1bc697171d84","audio.com.pl","audionerr","AudioNerr","Zamień Stremio w centrum swoich audiobooków.","1.0.5","https://addons-stremio.com/addon/audionerr","https://audionerr.com.pl/manifest.json","other","metadata","multi","online","0","0","0","0","2026-07-29T05:27:09.370Z","2026-07-29T19:06:09.250Z","2026-08-10T21:00:32.569Z"
"956ff4f3-13aa-434e-bf0c-fe08ec656b15","community.latinobrid","latinobrid","Latinobrid","Tus películas y series favoritas, solo en español latino y con la mejor calidad.","1.0.0","https://addons-stremio.com/addon/latinobrid","https://latinobrid.stremx.net/manifest.json","movie|series","movies|tv-shows|kids|metadata|debrid","es","online","0","0","4","1","2026-07-27T20:49:33.096Z","2026-07-27T21:22:57.955Z","2026-08-10T21:00:32.548Z"
"a15f514c-a844-4620-a530-08a0f026f5ba","org.naitor.online","naitor","naiTor","Torrent: YTS, EZTV, ThePirateBay, Nyaa, EXT.to. Phụ đề: SubDL, OpenSubtitles, Wyzie (+ dịch AI qua Gemini/DeepL khi thiếu). Hỗ trợ Real-Debrid, TorBox để stream trực tiếp.","3.5.0","https://addons-stremio.com/addon/naitor","https://naitor.onrender.com/manifest.json","movie|series","movies|tv-shows|subtitles|metadata|debrid|torrents","multi","online","0","0","6","4","2026-07-27T12:38:45.027Z","2026-07-27T21:22:56.172Z","2026-08-10T23:39:41.186Z"
"9c5e9e45-7f01-4e0a-987b-c6e115f06cb5","cz.webshare.stremio","webshare-integration","Webshare","Streamuje obsah z Webshare.cz pro filmy a seriály.","0.4.0","https://addons-stremio.com/addon/webshare-integration","https://stremio.bubelar.com/manifest.json","movie|series","movies|tv-shows|metadata","multi","online","0","0","0","1","2026-07-27T09:14:31.103Z","2026-07-29T00:05:16.186Z","2026-08-10T23:40:13.668Z"
"5fc14057-98cc-408a-9e4f-3cb1ab50861d","org.betterstream.addon","betterstream","Better Stream","Better Stream: Connect your Xtream IPTV subscription to Stremio easily. High quality streams, posters and meta data.","1.0.0","https://addons-stremio.com/addon/betterstream","https://bttr.stream/manifest.json","movie|series|channel","movies|tv-shows|live-tv|metadata","multi","online","0","0","0","1","2026-07-26T22:27:55.397Z","2026-07-26T23:19:01.356Z","2026-08-10T22:36:36.816Z"
